,Reference area,Measure,Unit of measure,Domain,TIME_PERIOD,OBS_VALUE,Observation status
807,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2018,73.729,Normal value
808,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2017,73.53,Normal value
809,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2016,72.919,Normal value
810,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2015,73.182,Normal value
811,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2014,73.121,Normal value
812,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2013,73.338,Normal value
813,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2012,72.703,Normal value
814,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2011,71.835,Normal value
815,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2010,69.816,Normal value
816,Chile,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2009,67.101,Normal value
817,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2024,88.1859348408,Normal value
818,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2023,88.1859348408,Normal value
819,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2022,88.3515295569,Normal value
820,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2021,88.3515295569,Normal value
821,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2020,88.3515295569,Normal value
822,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2019,87.6780513845,Normal value
823,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2018,87.6780513845,Normal value
824,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2017,87.6780513845,Normal value
825,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2016,83.9004395447,Normal value
826,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2015,83.9004395447,Normal value
827,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2014,83.9004395447,Normal value
828,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2013,84.2315560557,Normal value
829,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2012,84.2315560557,Normal value
830,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2011,84.2315560557,Normal value
831,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2010,82.5281598069,Normal value
832,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2009,82.5281598069,Normal value
833,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2008,82.5281598069,Normal value
834,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2007,81.7750891009,Normal value
835,Chile,Social support,Percentage of population aged 15 years or over,Social connections,2006,81.7750891009,Normal value
836,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2019,46.6666666667,Normal value
837,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2018,46.6666666667,Normal value
838,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2017,46.6666666667,Normal value
839,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2013,53.6666666667,Normal value
840,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2012,53.6666666667,Normal value
841,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2011,53.6666666667,Normal value
842,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2010,44.6666666667,Normal value
843,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2009,44.6666666667,Normal value
844,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2008,44.6666666667,Normal value
845,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2024,37.5,Normal value
846,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2023,37.5,Normal value
847,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2022,40.0,Normal value
848,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2021,40.0,Normal value
849,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2020,40.0,Normal value
850,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2016,51.0,Normal value
851,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2015,51.0,Normal value
852,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2014,51.0,Normal value
853,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2007,39.0,Normal value
854,Chile,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2006,39.0,Normal value
855,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
856,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
857,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
858,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
859,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
860,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
861,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
862,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
863,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
864,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
865,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
866,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
867,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
868,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
869,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
870,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
871,Chile,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
872,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2015,0.7267114657,Normal value
873,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2014,0.8783394299,Normal value
874,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2013,0.8799363761,Normal value
875,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2012,1.0302992075,Normal value
876,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2008,1.2050059381,Normal value
877,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2007,1.4027069464,Normal value
878,Colombia,Life expectancy at birth,Years,Health,2014,75.2,Normal value
879,Colombia,Life expectancy at birth,Years,Health,2013,75.0,Normal value
880,Colombia,Life expectancy at birth,Years,Health,2012,74.7,Normal value
881,Colombia,Life expectancy at birth,Years,Health,2011,74.5,Normal value
882,Colombia,Life expectancy at birth,Years,Health,2010,74.3,Normal value
883,Colombia,Life expectancy at birth,Years,Health,2009,74.0,Normal value
884,Colombia,Life expectancy at birth,Years,Health,2008,73.8,Normal value
885,Colombia,Life expectancy at birth,Years,Health,2007,73.5,Normal value
886,Colombia,Life expectancy at birth,Years,Health,2006,73.3,Normal value
887,Colombia,Life expectancy at birth,Years,Health,2005,73.0,Normal value
888,Colombia,Life expectancy at birth,Years,Health,2004,72.6,Normal value
889,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2007,82.220145379,Normal value
890,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2006,81.6600186145,Normal value
891,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2005,81.4224997179,Normal value
892,Colombia,Student reading skills,Points,Knowledge and skills,2018,412.2950849934,Normal value
893,Colombia,Student reading skills,Points,Knowledge and skills,2015,424.9051670164,Normal value
894,Colombia,Student reading skills,Points,Knowledge and skills,2012,403.4025341769,Normal value
895,Colombia,Student reading skills,Points,Knowledge and skills,2009,413.1814991098,Normal value
896,Colombia,Student reading skills,Points,Knowledge and skills,2006,385.308038471,Normal value
897,Colombia,Life satisfaction,0-10 scale,Subjective well-being,2019,8.1553547477,Normal value
898,Colombia,Life satisfaction,0-10 scale,Subjective well-being,2018,8.2624974606,Normal value
899,Colombia,Life expectancy at birth,Years,Health,2024,77.5,Normal value
900,Colombia,Life expectancy at birth,Years,Health,2023,77.2,Normal value
901,Colombia,Student reading skills,Points,Knowledge and skills,2022,408.67,Normal value
902,Colombia,Life satisfaction,0-10 scale,Subjective well-being,2022,7.92084445,Normal value
903,Colombia,Life satisfaction,0-10 scale,Subjective well-being,2021,8.0079579,Normal value
904,Colombia,Life satisfaction,0-10 scale,Subjective well-being,2020,7.9961009,Normal value
905,Colombia,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2023,25.034762,Normal value
906,Colombia,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2021,17.166544,Normal value
907,Colombia,Life expectancy at birth,Years,Health,2022,76.9,Normal value
908,Colombia,Life expectancy at birth,Years,Health,2021,76.8,Normal value
909,Colombia,Life expectancy at birth,Years,Health,2020,76.7,Normal value
910,Colombia,Life expectancy at birth,Years,Health,2019,76.6,Normal value
911,Colombia,Life expectancy at birth,Years,Health,2018,76.5,Normal value
912,Colombia,Life expectancy at birth,Years,Health,2017,75.9,Normal value
913,Colombia,Life expectancy at birth,Years,Health,2016,75.7,Normal value
914,Colombia,Life expectancy at birth,Years,Health,2015,75.4,Normal value
915,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2005,3.4104629577,Normal value
916,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2004,4.2611999497,Normal value
917,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2024,84.8937983022,Normal value
918,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2023,84.8937983022,Normal value
919,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2022,81.9314673478,Normal value
920,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2021,81.9314673478,Normal value
921,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2020,81.9314673478,Normal value
922,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2019,87.8805038965,Normal value
923,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2018,87.8805038965,Normal value
924,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2017,87.8805038965,Normal value
925,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2016,88.9432781267,Normal value
926,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2015,88.9432781267,Normal value
927,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2014,88.9432781267,Normal value
928,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2013,90.3359269451,Normal value
929,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2012,90.3359269451,Normal value
930,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2011,90.3359269451,Normal value
931,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2010,88.2866642097,Normal value
932,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2009,88.2866642097,Normal value
933,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2008,88.2866642097,Normal value
934,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2007,89.7299893171,Normal value
935,Colombia,Social support,Percentage of population aged 15 years or over,Social connections,2006,89.7299893171,Normal value
936,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2022,45.6666666667,Normal value
937,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2021,45.6666666667,Normal value
938,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2020,45.6666666667,Normal value
939,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2016,45.3333333333,Normal value
940,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2015,45.3333333333,Normal value
941,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2014,45.3333333333,Normal value
942,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2010,45.6666666667,Normal value
943,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2009,45.6666666667,Normal value
944,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2008,45.6666666667,Normal value
945,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2024,47.0,Normal value
946,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2023,47.0,Normal value
947,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2019,46.0,Normal value
948,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2018,46.0,Normal value
949,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2017,46.0,Normal value
950,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2013,46.0,Normal value
951,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2012,46.0,Normal value
952,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2011,46.0,Normal value
953,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2007,54.0,Normal value
954,Colombia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2006,54.0,Normal value
955,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2022,84.5745075491,Normal value
956,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2021,82.9262200129,Normal value
957,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2020,82.0111703848,Normal value
958,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2019,82.6530123425,Normal value
959,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2018,82.7129267243,Normal value
960,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2017,82.7337615793,Normal value
961,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2016,82.5162741748,Normal value
962,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2015,82.6861678297,Normal value
963,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2014,82.5496689882,Normal value
964,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2013,82.604258016,Normal value
965,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2012,82.3276136382,Normal value
966,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2011,82.388435737,Normal value
967,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2010,81.9794743166,Normal value
968,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2009,82.1961132954,Normal value
969,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2008,82.3870404629,Normal value
970,Colombia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2023,84.8782093683,Provisional value
971,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
972,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
973,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
974,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
975,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
976,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
977,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
978,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
979,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
980,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
981,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
982,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
983,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
984,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
985,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
986,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
987,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
988,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
989,Colombia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
990,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2024,71.196,Normal value
991,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2008,69.285,Normal value
992,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2007,68.787,Normal value
993,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2005,70.045,Normal value
994,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2004,69.177,Normal value
995,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2023,71.243,Normal value
996,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2022,69.93,Normal value
997,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2021,66.015,Normal value
998,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2020,63.133,Normal value
999,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2019,71.401,Normal value
1000,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2018,72.736,Normal value
1001,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2017,73.417,Normal value
1002,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2016,73.819,Normal value
1003,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2015,74.227,Normal value
1004,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2014,73.949,Normal value
1005,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2013,73.682,Normal value
1006,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2012,73.695,Normal value
1007,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2011,73.044,Normal value
1008,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2010,72.041,Normal value
1009,Colombia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2009,70.75,Normal value
1010,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2016,0.712458786,Normal value
1011,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2011,1.18438108,Normal value
1012,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2010,1.469031214,Normal value
1013,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2009,1.443535041,Normal value
1014,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2024,0.8156405323,Normal value
1015,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2023,1.0068045004,Normal value
1016,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2022,1.6081186188,Normal value
1017,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2021,2.2833122555,Normal value
1018,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2020,1.1559698822,Normal value
1019,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2019,1.2854153951,Normal value
1020,Colombia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2018,1.0273764865,Normal value
1021,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2020,63.41,Normal value
1022,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2019,71.059,Normal value
1023,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2018,69.654,Normal value
1024,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2017,68.622,Normal value
1025,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2016,67.634,Normal value
1026,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2015,69.537,Normal value
1027,Costa Rica,Life expectancy at birth,Years,Health,2014,79.7,Normal value
1028,Costa Rica,Life expectancy at birth,Years,Health,2013,79.6,Normal value
1029,Costa Rica,Life expectancy at birth,Years,Health,2012,79.4,Normal value
1030,Costa Rica,Life expectancy at birth,Years,Health,2011,79.1,Normal value
1031,Costa Rica,Life expectancy at birth,Years,Health,2010,79.1,Normal value
1032,Costa Rica,Life expectancy at birth,Years,Health,2009,79.4,Normal value
1033,Costa Rica,Life expectancy at birth,Years,Health,2008,79.3,Normal value
1034,Costa Rica,Life expectancy at birth,Years,Health,2007,79.1,Normal value
1035,Costa Rica,Life expectancy at birth,Years,Health,2006,79.0,Normal value
1036,Costa Rica,Life expectancy at birth,Years,Health,2005,78.8,Normal value
1037,Costa Rica,Life expectancy at birth,Years,Health,2004,78.6,Normal value
1038,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2007,49.5,Normal value
1039,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2006,49.5,Normal value
1040,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2021,83.3488329458,Normal value
1041,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2020,83.0823149114,Normal value
1042,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2019,83.4534035508,Normal value
1043,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2018,83.2119595868,Normal value
1044,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2017,83.0012871678,Normal value
1045,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2016,82.4595169626,Normal value
1046,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2015,81.5212297957,Normal value
1047,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2014,81.6322448482,Normal value
1048,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2013,81.7810265233,Normal value
1049,Costa Rica,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2012,80.6133316285,Normal value
1050,Costa Rica,Student reading skills,Points,Knowledge and skills,2018,426.4982250097,Normal value
1051,Costa Rica,Student reading skills,Points,Knowledge and skills,2015,427.4875482069,Normal value
1052,Costa Rica,Student reading skills,Points,Knowledge and skills,2012,440.5478107363,Normal value
1053,Costa Rica,Student reading skills,Points,Knowledge and skills,2022,415.23,Normal value
1054,Costa Rica,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2023,22.183911,Normal value
1055,Costa Rica,Life expectancy at birth,Years,Health,2023,81.0,Normal value
1056,Costa Rica,Life expectancy at birth,Years,Health,2022,80.9,Normal value
1057,Costa Rica,Life expectancy at birth,Years,Health,2021,80.8,Normal value
1058,Costa Rica,Life expectancy at birth,Years,Health,2020,80.6,Normal value
1059,Costa Rica,Life expectancy at birth,Years,Health,2019,80.5,Normal value
1060,Costa Rica,Life expectancy at birth,Years,Health,2018,80.3,Normal value
1061,Costa Rica,Life expectancy at birth,Years,Health,2017,80.2,Normal value
1062,Costa Rica,Life expectancy at birth,Years,Health,2016,80.0,Normal value
1063,Costa Rica,Life expectancy at birth,Years,Health,2015,79.9,Normal value
1064,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2014,70.721,Normal value
1065,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2013,70.779,Normal value
1066,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2012,70.691,Normal value
1067,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2011,67.318,Normal value
1068,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2010,69.745,Normal value
1069,Costa Rica,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2009,70.49,Normal value
1070,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2022,2.400425747,Normal value
1071,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2024,0.8199457922,Normal value
1072,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2023,1.3145100357,Normal value
1073,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2021,3.4873868643,Normal value
1074,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2020,1.5195868853,Normal value
1075,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2019,1.5450582776,Normal value
1076,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2018,1.5139180877,Normal value
1077,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2017,1.3603402958,Normal value
1078,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2016,1.6162453253,Normal value
1079,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2015,1.5607967825,Normal value
1080,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2014,1.5564371604,Normal value
1081,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2013,1.0541519185,Normal value
1082,Costa Rica,Long-term unemployment rate,Percentage of labour force,Work and job quality,2012,1.0110664394,Normal value
1083,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2024,88.3007786291,Normal value
1084,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2023,88.3007786291,Normal value
1085,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2022,86.4210321799,Normal value
1086,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2021,86.4210321799,Normal value
1087,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2020,86.4210321799,Normal value
1088,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2019,89.5883836454,Normal value
1089,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2018,89.5883836454,Normal value
1090,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2017,89.5883836454,Normal value
1091,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2016,89.2816733214,Normal value
1092,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2015,89.2816733214,Normal value
1093,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2014,89.2816733214,Normal value
1094,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2013,89.0284994459,Normal value
1095,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2012,89.0284994459,Normal value
1096,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2011,89.0284994459,Normal value
1097,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2010,90.6365252919,Normal value
1098,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2009,90.6365252919,Normal value
1099,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2008,90.6365252919,Normal value
1100,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2007,91.7738161436,Normal value
1101,Costa Rica,Social support,Percentage of population aged 15 years or over,Social connections,2006,91.7738161436,Normal value
1102,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2022,48.3333333333,Normal value
1103,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2021,48.3333333333,Normal value
1104,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2020,48.3333333333,Normal value
1105,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2019,46.6666666667,Normal value
1106,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2018,46.6666666667,Normal value
1107,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2017,46.6666666667,Normal value
1108,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2013,47.3333333333,Normal value
1109,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2012,47.3333333333,Normal value
1110,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2011,47.3333333333,Normal value
1111,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2010,43.3333333333,Normal value
1112,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2009,43.3333333333,Normal value
1113,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2008,43.3333333333,Normal value
